image_file,target_bpp,quality,actual_bpp
1.png,1.0,33,0.9984130859375
2.png,1.0,68,1.0001220703125
3.png,1.0,79,0.986480712890625
4.png,1.0,69,1.004302978515625
5.png,1.0,25,0.993133544921875
6.png,1.0,50,0.9989013671875
7.png,1.0,68,0.997955322265625
8.png,1.0,26,0.991424560546875
9.png,1.0,76,0.987060546875
10.png,1.0,73,0.992462158203125
11.png,1.0,49,1.0009765625
12.png,1.0,72,1.003204345703125
13.png,1.0,25,0.98907470703125
14.png,1.0,36,1.003265380859375
15.png,1.0,64,1.003753662109375
16.png,1.0,67,0.994903564453125
17.png,1.0,60,0.994354248046875
18.png,1.0,42,1.00262451171875
19.png,1.0,56,1.00457763671875
20.png,1.0,76,0.98577880859375
21.png,1.0,58,0.997650146484375
22.png,1.0,60,0.99578857421875
23.png,1.0,76,0.991973876953125
24.png,1.0,47,1.00213623046875
