ber,trial,fid
1e-06,0,53.14884948730469
1e-06,1,54.18403244018555
1e-06,2,52.98230743408203
1e-06,3,53.90605545043945
1e-06,4,52.00535583496094
1e-06,5,53.8882942199707
1e-06,6,53.21595001220703
1e-06,7,52.513282775878906
1e-06,8,54.226097106933594
1e-06,9,54.29678726196289
1e-05,0,60.27718734741211
1e-05,1,71.98188781738281
1e-05,2,68.11904907226562
1e-05,3,72.21246337890625
1e-05,4,77.70447540283203
1e-05,5,74.17000579833984
1e-05,6,83.00475311279297
1e-05,7,79.31608581542969
1e-05,8,71.4126968383789
1e-05,9,70.35392761230469
0.0001,0,112.06111907958984
0.0001,1,122.39265441894531
0.0001,2,124.6401596069336
0.0001,3,122.18606567382812
0.0001,4,118.1845932006836
0.0001,5,114.67151641845703
0.0001,6,117.07843017578125
0.0001,7,115.38002014160156
0.0001,8,126.31804656982422
0.0001,9,120.03508758544922
0.001,0,137.87879943847656
0.001,1,142.7903594970703
0.001,2,148.86781311035156
0.001,3,133.69503784179688
0.001,4,138.74649047851562
0.001,5,145.670166015625
0.001,6,147.43673706054688
0.001,7,136.57723999023438
0.001,8,138.96128845214844
0.001,9,138.4798126220703
0.01,0,241.84823608398438
0.01,1,295.95819091796875
0.01,2,209.7758026123047
0.01,3,271.62689208984375
0.01,4,346.2842102050781
0.01,5,178.1746826171875
0.01,6,220.36248779296875
0.01,7,227.2377166748047
0.01,8,268.1329040527344
0.01,9,211.4169158935547
0.1,0,nan
0.1,1,nan
0.1,2,nan
0.1,3,nan
0.1,4,nan
0.1,5,nan
0.1,6,nan
0.1,7,nan
0.1,8,nan
0.1,9,nan
