ber,trial,fid
1e-06,0,23.51910400390625
1e-06,1,23.541179656982422
1e-06,2,23.452951431274414
1e-06,3,23.590824127197266
1e-06,4,23.78150177001953
1e-06,5,23.45620346069336
1e-06,6,23.73183250427246
1e-06,7,23.45620346069336
1e-06,8,23.45620346069336
1e-06,9,23.45620346069336
1e-05,0,26.7413272857666
1e-05,1,23.840049743652344
1e-05,2,27.2722110748291
1e-05,3,24.27695655822754
1e-05,4,25.09735679626465
1e-05,5,26.21562957763672
1e-05,6,29.889205932617188
1e-05,7,26.072542190551758
1e-05,8,24.054201126098633
1e-05,9,25.65087127685547
0.0001,0,41.38679885864258
0.0001,1,33.32179641723633
0.0001,2,49.18757629394531
0.0001,3,37.25196838378906
0.0001,4,42.42008972167969
0.0001,5,34.86988830566406
0.0001,6,33.980690002441406
0.0001,7,50.772361755371094
0.0001,8,43.15602493286133
0.0001,9,36.74687194824219
0.001,0,74.49214935302734
0.001,1,69.93810272216797
0.001,2,73.64454650878906
0.001,3,79.48001098632812
0.001,4,92.19290161132812
0.001,5,71.81243896484375
0.001,6,85.04446411132812
0.001,7,71.49004364013672
0.001,8,75.7373275756836
0.001,9,71.82003021240234
0.01,0,82.97630310058594
0.01,1,84.1543960571289
0.01,2,78.11136627197266
0.01,3,77.79641723632812
0.01,4,95.98684692382812
0.01,5,82.6769027709961
0.01,6,71.6595458984375
0.01,7,82.88599395751953
0.01,8,77.1617202758789
0.01,9,71.34026336669922
0.1,0,116.34688568115234
0.1,1,114.16864776611328
0.1,2,95.80043029785156
0.1,3,104.98979949951172
0.1,4,93.48272705078125
0.1,5,111.40345001220703
0.1,6,99.64888763427734
0.1,7,97.83602905273438
0.1,8,83.08429718017578
0.1,9,102.47859191894531
