ber,trial,fid
1e-06,0,22.916797637939453
1e-06,1,22.916797637939453
1e-06,2,22.916797637939453
1e-06,3,22.916797637939453
1e-06,4,22.916797637939453
1e-06,5,22.916797637939453
1e-06,6,22.916797637939453
1e-06,7,22.916797637939453
1e-06,8,22.916797637939453
1e-06,9,22.916797637939453
1e-05,0,22.916797637939453
1e-05,1,22.916797637939453
1e-05,2,22.916797637939453
1e-05,3,22.916797637939453
1e-05,4,22.916797637939453
1e-05,5,22.916797637939453
1e-05,6,22.916797637939453
1e-05,7,22.916797637939453
1e-05,8,22.916797637939453
1e-05,9,22.916797637939453
0.0001,0,44.066463470458984
0.0001,1,44.066463470458984
0.0001,2,44.066463470458984
0.0001,3,44.066463470458984
0.0001,4,44.066463470458984
0.0001,5,44.066463470458984
0.0001,6,44.066463470458984
0.0001,7,44.066463470458984
0.0001,8,44.066463470458984
0.0001,9,44.066463470458984
0.001,0,66.17342376708984
0.001,1,66.17342376708984
0.001,2,66.17342376708984
0.001,3,66.17342376708984
0.001,4,66.17342376708984
0.001,5,66.17342376708984
0.001,6,66.17342376708984
0.001,7,66.17342376708984
0.001,8,66.17342376708984
0.001,9,66.17342376708984
0.01,0,75.14375305175781
0.01,1,75.14375305175781
0.01,2,75.14375305175781
0.01,3,75.14375305175781
0.01,4,75.14375305175781
0.01,5,75.14375305175781
0.01,6,75.14375305175781
0.01,7,75.14375305175781
0.01,8,75.14375305175781
0.01,9,75.14375305175781
0.1,0,107.03837585449219
0.1,1,107.03837585449219
0.1,2,107.03837585449219
0.1,3,107.03837585449219
0.1,4,107.03837585449219
0.1,5,107.03837585449219
0.1,6,107.03837585449219
0.1,7,107.03837585449219
0.1,8,107.03837585449219
0.1,9,107.03837585449219
