ber,trial,fid
1e-06,0,23.702159881591797
1e-06,1,24.009353637695312
1e-06,2,23.631244659423828
1e-06,3,24.38918685913086
1e-06,4,24.014728546142578
1e-06,5,23.601099014282227
1e-06,6,23.682388305664062
1e-06,7,23.90275001525879
1e-06,8,23.601099014282227
1e-06,9,23.601099014282227
1e-05,0,25.169540405273438
1e-05,1,24.24905776977539
1e-05,2,25.257556915283203
1e-05,3,25.15584373474121
1e-05,4,24.703250885009766
1e-05,5,24.600656509399414
1e-05,6,25.903911590576172
1e-05,7,24.525230407714844
1e-05,8,24.770263671875
1e-05,9,24.113330841064453
0.0001,0,32.56273651123047
0.0001,1,31.90507698059082
0.0001,2,32.629173278808594
0.0001,3,35.15510940551758
0.0001,4,35.14900207519531
0.0001,5,34.375572204589844
0.0001,6,31.47783851623535
0.0001,7,35.30768966674805
0.0001,8,34.157894134521484
0.0001,9,36.81003952026367
0.001,0,66.55084991455078
0.001,1,58.38762664794922
0.001,2,56.739845275878906
0.001,3,57.666099548339844
0.001,4,55.938724517822266
0.001,5,54.9460563659668
0.001,6,59.50164794921875
0.001,7,58.52914047241211
0.001,8,57.662879943847656
0.001,9,53.448307037353516
0.01,0,nan
0.01,1,nan
0.01,2,nan
0.01,3,nan
0.01,4,nan
0.01,5,nan
0.01,6,nan
0.01,7,nan
0.01,8,nan
0.01,9,nan
0.1,0,nan
0.1,1,nan
0.1,2,nan
0.1,3,nan
0.1,4,nan
0.1,5,nan
0.1,6,nan
0.1,7,nan
0.1,8,nan
0.1,9,nan
