ber,trial,fid
1e-06,0,35.65170669555664
1e-06,1,36.36717224121094
1e-06,2,39.164615631103516
1e-06,3,36.36717224121094
1e-06,4,37.19877624511719
1e-06,5,37.12791442871094
1e-06,6,36.36717224121094
1e-06,7,36.36717224121094
1e-06,8,36.90106201171875
1e-06,9,37.98805618286133
1e-05,0,37.9842414855957
1e-05,1,38.47081756591797
1e-05,2,38.79779052734375
1e-05,3,39.06508255004883
1e-05,4,40.744998931884766
1e-05,5,40.715667724609375
1e-05,6,44.026756286621094
1e-05,7,40.31047821044922
1e-05,8,39.47697448730469
1e-05,9,40.003639221191406
0.0001,0,71.25304412841797
0.0001,1,66.3974609375
0.0001,2,77.0478286743164
0.0001,3,73.37644958496094
0.0001,4,84.11713409423828
0.0001,5,70.28298950195312
0.0001,6,78.77274322509766
0.0001,7,72.14119720458984
0.0001,8,78.08638000488281
0.0001,9,79.029052734375
0.001,0,178.89431762695312
0.001,1,163.12088012695312
0.001,2,185.1835479736328
0.001,3,176.04483032226562
0.001,4,169.53427124023438
0.001,5,162.1893310546875
0.001,6,155.5023956298828
0.001,7,167.7001190185547
0.001,8,174.11329650878906
0.001,9,161.47988891601562
0.01,0,nan
0.01,1,nan
0.01,2,nan
0.01,3,nan
0.01,4,nan
0.01,5,nan
0.01,6,nan
0.01,7,nan
0.01,8,nan
0.01,9,nan
0.1,0,nan
0.1,1,nan
0.1,2,nan
0.1,3,nan
0.1,4,nan
0.1,5,nan
0.1,6,nan
0.1,7,nan
0.1,8,nan
0.1,9,nan
