ber,trial,fid
1e-06,0,40.86117935180664
1e-06,1,41.901607513427734
1e-06,2,41.112586975097656
1e-06,3,41.79853057861328
1e-06,4,41.62617492675781
1e-06,5,40.63151168823242
1e-06,6,40.92247772216797
1e-06,7,41.00897979736328
1e-06,8,45.45400619506836
1e-06,9,40.987548828125
1e-05,0,54.54619216918945
1e-05,1,54.26103210449219
1e-05,2,65.85124206542969
1e-05,3,55.585628509521484
1e-05,4,44.9599723815918
1e-05,5,54.18194580078125
1e-05,6,54.651397705078125
1e-05,7,61.16427230834961
1e-05,8,46.09133529663086
1e-05,9,51.563846588134766
0.0001,0,206.1354522705078
0.0001,1,197.62698364257812
0.0001,2,160.5556182861328
0.0001,3,135.417236328125
0.0001,4,153.26016235351562
0.0001,5,147.4344024658203
0.0001,6,142.3686981201172
0.0001,7,149.82815551757812
0.0001,8,152.61795043945312
0.0001,9,134.53793334960938
0.001,0,443.3922424316406
0.001,1,454.2503356933594
0.001,2,394.9345397949219
0.001,3,364.90740966796875
0.001,4,414.0690612792969
0.001,5,429.05706787109375
0.001,6,451.64117431640625
0.001,7,352.01422119140625
0.001,8,437.9779357910156
0.001,9,467.2449035644531
0.01,0,581.4730834960938
0.01,1,579.197509765625
0.01,2,580.5792846679688
0.01,3,610.3341064453125
0.01,4,648.3943481445312
0.01,5,601.0275268554688
0.01,6,551.954345703125
0.01,7,613.97998046875
0.01,8,623.791259765625
0.01,9,634.4774169921875
0.1,0,nan
0.1,1,nan
0.1,2,nan
0.1,3,nan
0.1,4,nan
0.1,5,nan
0.1,6,nan
0.1,7,nan
0.1,8,nan
0.1,9,nan
