ber,trial,fid
1e-06,0,26.920093536376953
1e-06,1,26.927291870117188
1e-06,2,26.923240661621094
1e-06,3,26.908750534057617
1e-06,4,26.920621871948242
1e-06,5,26.88841438293457
1e-06,6,26.920621871948242
1e-06,7,26.957469940185547
1e-06,8,26.920621871948242
1e-06,9,26.920621871948242
1e-05,0,26.963655471801758
1e-05,1,26.933156967163086
1e-05,2,26.915069580078125
1e-05,3,26.94976234436035
1e-05,4,26.94768714904785
1e-05,5,26.9062557220459
1e-05,6,26.916521072387695
1e-05,7,26.956377029418945
1e-05,8,26.94948387145996
1e-05,9,27.171728134155273
0.0001,0,27.775205612182617
0.0001,1,27.49258804321289
0.0001,2,27.490659713745117
0.0001,3,27.38127326965332
0.0001,4,27.365259170532227
0.0001,5,27.708351135253906
0.0001,6,27.104381561279297
0.0001,7,27.48361587524414
0.0001,8,27.488359451293945
0.0001,9,27.290342330932617
0.001,0,29.103363037109375
0.001,1,29.20465660095215
0.001,2,30.717851638793945
0.001,3,30.64043426513672
0.001,4,30.54100799560547
0.001,5,30.500858306884766
0.001,6,30.342802047729492
0.001,7,30.396038055419922
0.001,8,30.107757568359375
0.001,9,29.946552276611328
0.01,0,53.71015167236328
0.01,1,51.16520309448242
0.01,2,48.68994140625
0.01,3,49.7021484375
0.01,4,57.16791915893555
0.01,5,54.923580169677734
0.01,6,48.40120315551758
0.01,7,48.82917785644531
0.01,8,54.02532958984375
0.01,9,54.42948913574219
0.1,0,122.13606262207031
0.1,1,129.2189178466797
0.1,2,119.11943054199219
0.1,3,118.42827606201172
0.1,4,129.54151916503906
0.1,5,125.01810455322266
0.1,6,124.82615661621094
0.1,7,121.46724700927734
0.1,8,128.2287139892578
0.1,9,123.17959594726562
