ber,trial,fid
1e-06,0,nan
1e-06,1,nan
1e-06,2,nan
1e-06,3,nan
1e-06,4,nan
1e-06,5,nan
1e-06,6,nan
1e-06,7,nan
1e-06,8,nan
1e-06,9,nan
1e-06,10,nan
1e-06,11,nan
1e-06,12,nan
1e-06,13,nan
1e-06,14,nan
1e-06,15,nan
1e-06,16,nan
1e-06,17,nan
1e-06,18,nan
1e-06,19,nan
1e-06,20,nan
1e-06,21,nan
1e-06,22,nan
1e-06,23,nan
1e-06,24,nan
1e-06,25,nan
1e-06,26,nan
1e-06,27,nan
1e-06,28,nan
1e-06,29,nan
1e-06,30,nan
1e-06,31,nan
1e-06,32,nan
1e-06,33,nan
1e-06,34,nan
1e-06,35,nan
1e-06,36,nan
1e-06,37,nan
1e-06,38,nan
1e-06,39,nan
1e-06,40,nan
1e-06,41,nan
1e-06,42,nan
1e-06,43,nan
1e-06,44,nan
1e-06,45,nan
1e-06,46,nan
1e-06,47,nan
1e-06,48,nan
1e-06,49,nan
1e-05,0,nan
1e-05,1,nan
1e-05,2,nan
1e-05,3,nan
1e-05,4,nan
1e-05,5,nan
1e-05,6,nan
1e-05,7,nan
1e-05,8,nan
1e-05,9,nan
1e-05,10,nan
1e-05,11,nan
1e-05,12,nan
1e-05,13,nan
1e-05,14,nan
1e-05,15,nan
1e-05,16,nan
1e-05,17,nan
1e-05,18,nan
1e-05,19,nan
1e-05,20,nan
1e-05,21,nan
1e-05,22,nan
1e-05,23,nan
1e-05,24,nan
1e-05,25,nan
1e-05,26,nan
1e-05,27,nan
1e-05,28,nan
1e-05,29,nan
1e-05,30,nan
1e-05,31,nan
1e-05,32,nan
1e-05,33,nan
1e-05,34,nan
1e-05,35,nan
1e-05,36,nan
1e-05,37,nan
1e-05,38,nan
1e-05,39,nan
1e-05,40,nan
1e-05,41,nan
1e-05,42,nan
1e-05,43,nan
1e-05,44,nan
1e-05,45,nan
1e-05,46,nan
1e-05,47,nan
1e-05,48,nan
1e-05,49,nan
0.0001,0,nan
0.0001,1,nan
0.0001,2,nan
0.0001,3,nan
0.0001,4,nan
0.0001,5,nan
0.0001,6,nan
0.0001,7,nan
0.0001,8,nan
0.0001,9,nan
0.0001,10,nan
0.0001,11,nan
0.0001,12,nan
0.0001,13,nan
0.0001,14,nan
0.0001,15,nan
0.0001,16,nan
0.0001,17,nan
0.0001,18,nan
0.0001,19,nan
0.0001,20,nan
0.0001,21,nan
0.0001,22,nan
0.0001,23,nan
0.0001,24,nan
0.0001,25,nan
0.0001,26,nan
0.0001,27,nan
0.0001,28,nan
0.0001,29,nan
0.0001,30,nan
0.0001,31,nan
0.0001,32,nan
0.0001,33,nan
0.0001,34,nan
0.0001,35,nan
0.0001,36,nan
0.0001,37,nan
0.0001,38,nan
0.0001,39,nan
0.0001,40,nan
0.0001,41,nan
0.0001,42,nan
0.0001,43,nan
0.0001,44,nan
0.0001,45,nan
0.0001,46,nan
0.0001,47,nan
0.0001,48,nan
0.0001,49,nan
0.001,0,nan
0.001,1,nan
0.001,2,nan
0.001,3,nan
0.001,4,nan
0.001,5,nan
0.001,6,nan
0.001,7,nan
0.001,8,nan
0.001,9,nan
0.001,10,nan
0.001,11,nan
0.001,12,nan
0.001,13,nan
0.001,14,nan
0.001,15,nan
0.001,16,nan
0.001,17,nan
0.001,18,nan
0.001,19,nan
0.001,20,nan
0.001,21,nan
0.001,22,nan
0.001,23,nan
0.001,24,nan
0.001,25,nan
0.001,26,nan
0.001,27,nan
0.001,28,nan
0.001,29,nan
0.001,30,nan
0.001,31,nan
0.001,32,nan
0.001,33,nan
0.001,34,nan
0.001,35,nan
0.001,36,nan
0.001,37,nan
0.001,38,nan
0.001,39,nan
0.001,40,nan
0.001,41,nan
0.001,42,nan
0.001,43,nan
0.001,44,nan
0.001,45,nan
0.001,46,nan
0.001,47,nan
0.001,48,nan
0.001,49,nan
0.01,0,nan
0.01,1,nan
0.01,2,nan
0.01,3,nan
0.01,4,nan
0.01,5,nan
0.01,6,nan
0.01,7,nan
0.01,8,nan
0.01,9,nan
0.01,10,nan
0.01,11,nan
0.01,12,nan
0.01,13,nan
0.01,14,nan
0.01,15,nan
0.01,16,nan
0.01,17,nan
0.01,18,nan
0.01,19,nan
0.01,20,nan
0.01,21,nan
0.01,22,nan
0.01,23,nan
0.01,24,nan
0.01,25,nan
0.01,26,nan
0.01,27,nan
0.01,28,nan
0.01,29,nan
0.01,30,nan
0.01,31,nan
0.01,32,nan
0.01,33,nan
0.01,34,nan
0.01,35,nan
0.01,36,nan
0.01,37,nan
0.01,38,nan
0.01,39,nan
0.01,40,nan
0.01,41,nan
0.01,42,nan
0.01,43,nan
0.01,44,nan
0.01,45,nan
0.01,46,nan
0.01,47,nan
0.01,48,nan
0.01,49,nan
0.1,0,nan
0.1,1,nan
0.1,2,nan
0.1,3,nan
0.1,4,nan
0.1,5,nan
0.1,6,nan
0.1,7,nan
0.1,8,nan
0.1,9,nan
0.1,10,nan
0.1,11,nan
0.1,12,nan
0.1,13,nan
0.1,14,nan
0.1,15,nan
0.1,16,nan
0.1,17,nan
0.1,18,nan
0.1,19,nan
0.1,20,nan
0.1,21,nan
0.1,22,nan
0.1,23,nan
0.1,24,nan
0.1,25,nan
0.1,26,nan
0.1,27,nan
0.1,28,nan
0.1,29,nan
0.1,30,nan
0.1,31,nan
0.1,32,nan
0.1,33,nan
0.1,34,nan
0.1,35,nan
0.1,36,nan
0.1,37,nan
0.1,38,nan
0.1,39,nan
0.1,40,nan
0.1,41,nan
0.1,42,nan
0.1,43,nan
0.1,44,nan
0.1,45,nan
0.1,46,nan
0.1,47,nan
0.1,48,nan
0.1,49,nan
