ber,trial,fid
1e-06,0,32.18427658081055
1e-06,1,31.99937057495117
1e-06,2,31.99713706970215
1e-06,3,31.996871948242188
1e-06,4,31.99850273132324
1e-06,5,34.19548416137695
1e-06,6,32.33027267456055
1e-06,7,31.995718002319336
1e-06,8,32.00016403198242
1e-06,9,31.99860954284668
1e-05,0,39.09813690185547
1e-05,1,31.99958038330078
1e-05,2,32.63174057006836
1e-05,3,33.901058197021484
1e-05,4,33.834808349609375
1e-05,5,31.997753143310547
1e-05,6,32.79205703735352
1e-05,7,44.43353271484375
1e-05,8,31.99670791625977
1e-05,9,34.123008728027344
0.0001,0,51.62922668457031
0.0001,1,69.3536376953125
0.0001,2,52.929534912109375
0.0001,3,57.480464935302734
0.0001,4,65.2196273803711
0.0001,5,55.77832794189453
0.0001,6,51.8851432800293
0.0001,7,52.02983856201172
0.0001,8,65.35771942138672
0.0001,9,51.37786102294922
0.001,0,153.91506958007812
0.001,1,136.08450317382812
0.001,2,139.23028564453125
0.001,3,132.0928497314453
0.001,4,134.70510864257812
0.001,5,125.11922454833984
0.001,6,97.94365692138672
0.001,7,137.99464416503906
0.001,8,124.59017181396484
0.001,9,110.38899993896484
0.01,0,307.4281616210937
0.01,1,244.49024963378903
0.01,2,193.5344696044922
0.01,3,184.4174346923828
0.01,4,287.8706970214844
0.01,5,227.51220703125
0.01,6,220.19374084472656
0.01,7,208.5536193847656
0.01,8,176.83673095703125
0.01,9,354.7628173828125
0.1,0,
0.1,1,
0.1,2,
0.1,3,
0.1,4,
0.1,5,
0.1,6,
0.1,7,
0.1,8,
0.1,9,
