ber,trial,fid
1e-06,0,23.016937255859375
1e-06,1,23.01612091064453
1e-06,2,23.05382537841797
1e-06,3,22.956144332885742
1e-06,4,23.01572608947754
1e-06,5,23.770822525024414
1e-06,6,23.01572608947754
1e-06,7,23.21510887145996
1e-06,8,23.01572608947754
1e-06,9,23.01572608947754
1e-05,0,23.30063819885254
1e-05,1,23.187103271484375
1e-05,2,23.265626907348633
1e-05,3,24.15194320678711
1e-05,4,24.08922004699707
1e-05,5,26.515151977539062
1e-05,6,23.756961822509766
1e-05,7,24.147323608398438
1e-05,8,23.28453254699707
1e-05,9,23.579133987426758
0.0001,0,30.921598434448242
0.0001,1,32.578678131103516
0.0001,2,31.355173110961914
0.0001,3,28.864763259887695
0.0001,4,34.26997756958008
0.0001,5,31.145557403564453
0.0001,6,27.465614318847656
0.0001,7,35.97996520996094
0.0001,8,31.659778594970703
0.0001,9,29.25222396850586
0.001,0,73.493408203125
0.001,1,64.74263000488281
0.001,2,74.11068725585938
0.001,3,62.736637115478516
0.001,4,68.02115631103516
0.001,5,64.42491912841797
0.001,6,76.47370147705078
0.001,7,72.89855194091797
0.001,8,72.40052032470703
0.001,9,72.84996032714844
0.01,0,128.1712646484375
0.01,1,123.6879653930664
0.01,2,141.02569580078125
0.01,3,131.1810760498047
0.01,4,138.56719970703125
0.01,5,134.9247283935547
0.01,6,130.41319274902344
0.01,7,152.64718627929688
0.01,8,128.6464385986328
0.01,9,135.7073211669922
0.1,0,233.52474975585938
0.1,1,223.01968383789062
0.1,2,252.25848388671875
0.1,3,188.41734313964844
0.1,4,nan
0.1,5,217.3797607421875
0.1,6,198.5616455078125
0.1,7,286.197265625
0.1,8,207.2819061279297
0.1,9,260.026611328125
